what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1418939725263
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1418939725264
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1418939725264
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1418939725265
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1418939725265
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1418939725266
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1418939725267
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1418939725268
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1418939725269
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1418939725269
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1418939725270
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1418939725270
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1418939725271
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1418939725272
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1418939725273
os,sysinfo,,,"win32",1418939725278
arch,sysinfo,,,"x86_64",1418939725278
ws,sysinfo,,,"win32",1418939725278
locale,sysinfo,,,"es_ES",1418939725278
processors,sysinfo,,,"4",1418939725278
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1418939725278
java.runtime.version,sysinfo,,,"1.7.0_11-b21",1418939725278
java.specification.name,sysinfo,,,"Java Platform API Specification",1418939725278
java.specification.vendor,sysinfo,,,"Oracle Corporation",1418939725278
java.specification.version,sysinfo,,,"1.7",1418939725278
java.vendor,sysinfo,,,"Oracle Corporation",1418939725278
java.version,sysinfo,,,"1.7.0_11",1418939725278
java.vm.info,sysinfo,,,"mixed mode",1418939725278
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1418939725278
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1418939725278
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1418939725278
java.vm.specification.version,sysinfo,,,"1.7",1418939725278
java.vm.vendor,sysinfo,,,"Oracle Corporation",1418939725278
java.vm.version,sysinfo,,,"23.6-b04",1418939725278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418939729785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418939732495
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418939732604
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1418939732857
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1418939732861
started,bundle,org.eclipse.mylyn.builds.core,1.0.3.v20130107-0100,"org.eclipse.mylyn.builds.core",1418939732902
stopped,bundle,org.eclipse.mylyn.gerrit.ui,1.0.3.v20130107-0100,"org.eclipse.mylyn.gerrit.ui",1418939733130
stopped,bundle,org.eclipse.mylyn.gerrit.core,1.0.3.v20130107-0100,"org.eclipse.mylyn.gerrit.core",1418939733131
stopped,bundle,org.eclipse.mylyn.hudson.ui,1.0.3.v20130107-0100,"org.eclipse.mylyn.hudson.ui",1418939733132
stopped,bundle,org.eclipse.mylyn.hudson.core,1.0.3.v20130107-0100,"org.eclipse.mylyn.hudson.core",1418939733133
stopped,bundle,com.atlassian.connector.eclipse.jira.ui,3.0.7.v20121218,"com.atlassian.connector.eclipse.jira.ui",1418939733133
stopped,bundle,com.atlassian.connector.eclipse.jira.core,3.0.7.v20121218,"com.atlassian.connector.eclipse.jira.core",1418939733142
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1418939733143
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1418939733144
